start_lat,start_lon,label,target_distance,max_candidates,n_nodes,n_edges,n_routes,max_cands,attempt,duration,min_ele,max_ele,min_dist,max_dist
51.0428188,-1.3476727,Winchester,5000,4096,1027,2573,64,4096,1,2.351196881,151.50020217895508,166.43660736083984,5412.351281089982,5499.83710114437
51.0428188,-1.3476727,Winchester,5000,5120,1027,2573,64,5120,1,3.105260286,171.08877563476562,182.6707992553711,5450.026620003127,5499.903779552599
51.0428188,-1.3476727,Winchester,5000,6144,1027,2573,64,6144,1,3.790163558,165.1000099182129,177.5950164794922,5450.2934534841625,5499.797054287781
51.0428188,-1.3476727,Winchester,5000,7168,1027,2573,64,7168,1,3.895285925,163.01400756835938,173.1450309753418,5389.206640193338,5499.97028777138
51.0428188,-1.3476727,Winchester,5000,8192,1027,2573,64,8192,1,4.163146598,158.04521560668945,171.20100784301758,5434.827008363081,5499.0492730077185
51.0428188,-1.3476727,Winchester,5000,9216,1027,2573,64,9216,1,4.582443542,158.61300659179688,174.80377197265625,5409.846364182088,5499.654600645397
51.0428188,-1.3476727,Winchester,5000,10240,1027,2573,64,10240,1,4.722242811,160.10821151733398,172.0408058166504,5369.565704318935,5499.9320027469375
51.0428188,-1.3476727,Winchester,5000,11264,1027,2573,64,11264,1,5.51288901,164.0027961730957,177.04001235961914,5460.913901814682,5499.815538230758
51.0428188,-1.3476727,Winchester,5000,12288,1027,2573,64,12288,1,6.237169742,165.03577423095703,174.61978912353516,5425.765697411112,5499.982011159653
51.0428188,-1.3476727,Winchester,5000,13312,1027,2573,64,13312,1,5.843209963,158.00200653076172,174.77301025390625,5440.122609123378,5499.826452650816
51.0428188,-1.3476727,Winchester,5000,14336,1027,2573,64,14336,1,6.70468787,163.0097885131836,175.7808380126953,5448.407253221322,5499.233962066556
51.0428188,-1.3476727,Winchester,5000,15360,1027,2573,64,15360,1,7.167303113,162.01420974731445,174.7907943725586,5457.094370936828,5499.518621138212
51.0428188,-1.3476727,Winchester,5000,16384,1027,2573,64,16384,1,7.32793011,164.3756217956543,177.2367706298828,5443.9405704094615,5499.912017734665
50.9873551,-1.406696,Southampton Common,5000,128,1920,4660,36,128,1,0.206113003,61.162025451660156,75.4170036315918,5236.406831408474,5484.324228226688
50.9873551,-1.406696,Southampton Common,5000,256,1920,4660,49,256,1,0.265977063,43.22779083251953,79.49901008605957,5294.0486030837055,5499.858758454546
50.9873551,-1.406696,Southampton Common,5000,384,1920,4660,50,384,1,0.320746086,37.480634689331055,65.3790168762207,4715.0420043115355,5497.495232724656
50.9873551,-1.406696,Southampton Common,5000,512,1920,4660,64,512,1,0.41984563,39.80961036682129,90.44800758361816,5071.669613712286,5499.807512235038
50.9873551,-1.406696,Southampton Common,5000,640,1920,4660,64,640,1,0.457745589,41.36660194396973,62.5090446472168,4942.018959038956,5499.483456068453
50.9873551,-1.406696,Southampton Common,5000,768,1920,4660,64,768,1,0.690915257,58.06401062011719,83.49299430847168,5395.068162320498,5499.650260695409
50.9873551,-1.406696,Southampton Common,5000,896,1920,4660,64,896,1,0.735511126,44.340436935424805,80.24101638793945,4787.031369414735,5499.81310553607
50.9873551,-1.406696,Southampton Common,5000,1024,1920,4660,18,1024,1,0.723840756,52.082603454589844,89.0262565612793,5425.75253125591,5496.495036404457
50.9873551,-1.406696,Southampton Common,5000,2048,1920,4660,64,2048,1,1.859155471,58.038442611694336,79.11700820922852,5355.920915968371,5499.812258096592
50.9873551,-1.406696,Southampton Common,5000,3072,1920,4660,64,3072,1,2.346237326,64.04304504394531,79.0040111541748,5372.873943989543,5499.728887037357
50.9873551,-1.406696,Southampton Common,5000,4096,1920,4660,64,4096,1,2.799107314,68.02345085144043,81.30501937866211,5372.719236634608,5499.959912396911
50.9873551,-1.406696,Southampton Common,5000,5120,1920,4660,64,5120,1,3.641966547,68.00216865539551,80.1830062866211,5339.589567816004,5498.9924368163165
50.9873551,-1.406696,Southampton Common,5000,6144,1920,4660,64,6144,1,3.612452168,68.26501655578613,86.07999992370605,5331.9729528699545,5499.864124497506
50.9873551,-1.406696,Southampton Common,5000,7168,1920,4660,64,7168,1,4.013507151,68.01702499389648,82.8229923248291,5403.33178770195,5499.901841355291
50.9873551,-1.406696,Southampton Common,5000,8192,1920,4660,64,8192,1,5.36177481,68.03303146362305,83.54100036621094,5424.2810956341145,5499.847412174924
50.9873551,-1.406696,Southampton Common,5000,9216,1920,4660,64,9216,1,5.681005235,70.1021842956543,80.10400199890137,5374.745358847308,5499.881155558541
50.9873551,-1.406696,Southampton Common,5000,10240,1920,4660,64,10240,1,5.78835876,67.08460426330566,88.2610092163086,5395.714643224059,5499.723600591182
50.9873551,-1.406696,Southampton Common,5000,11264,1920,4660,64,11264,1,6.680107242,69.05100631713867,89.6770191192627,5354.110988619877,5499.85002463263
50.9873551,-1.406696,Southampton Common,5000,12288,1920,4660,64,12288,1,7.362669154,72.01700782775879,79.66744041442871,5404.716051059957,5499.297196201683
50.9873551,-1.406696,Southampton Common,5000,13312,1920,4660,64,13312,1,7.978280745,77.00717353820801,94.17800903320312,5361.859287192604,5499.405888047832
